Sample_No,image_no,moisture,soil_type,soc,SI,lab_b,CI,median_s,luv_u,mean_r,entropy,xyz_Z
12,321,14.31,2,1.92,0.799176741,23.52193384,0.384105172,135,15.65056208,108.2202049,13.6103936,0.047266951
12,322,14.31,2,1.92,1.893548055,28.9784688,0.682998165,122,19.06289674,148.816486,14.27111249,0.101139517
12,323,14.31,2,1.92,2.053119007,32.66206099,0.767090143,138,21.34232884,148.4399514,14.29748447,0.084285451
13,324,5.62,3,2.5,2.024361383,27.87807524,0.817351299,118,17.97584663,146.3702567,13.52602558,0.101752438
13,325,5.62,3,2.5,1.00523474,24.31206446,0.561547861,121,15.2586047,121.5195711,13.17001224,0.067621292
13,326,5.62,3,2.5,2.433704357,30.46562533,0.610590821,114,18.44620609,165.4667969,13.99880055,0.138301666
13,327,5.62,3,2.5,2.507539228,31.64829375,0.631604375,120,18.89597785,162.0442443,14.02260404,0.123658622
10,328,5.25,2,2.05,1.871187193,25.37692238,0.720949626,107,15.43903499,145.5988321,13.64179989,0.11470225
10,329,5.25,2,2.05,1.023760282,21.1398544,0.516490943,104,12.82179117,123.5254106,13.27887808,0.084971143
11,332,4.3,2,2.29,1.63891994,25.05114377,0.676949747,112,15.97492074,138.1647463,13.85809411,0.097193212
11,333,4.3,2,2.29,0.584498133,20.28666848,0.341399922,113,12.78483982,107.7606027,12.88715253,0.057971284
11,334,4.3,2,2.29,2.020011044,26.81682487,0.63569419,105,16.28726037,158.0199298,13.88559387,0.138957977
11,335,4.3,2,2.29,2.209306277,28.51285293,0.660685943,112,17.70684105,158.1998764,13.92412105,0.128793174
12,337,7.87,2,1.92,1.355132897,25.7639301,0.697038839,122,16.44913481,130.0114597,13.65905041,0.077275941
12,338,7.87,2,1.92,2.255259935,30.93206566,0.628620645,121,19.1068175,158.6486169,14.22572732,0.117329347
12,339,7.87,2,1.92,2.431141698,33.533337,0.686687373,132,20.82620248,157.391761,14.35334475,0.101468594
13,342,1.76,3,2.5,2.363998611,29.02740709,0.624488286,112,17.50506464,160.5734614,13.90995165,0.133589754
13,343,1.76,3,2.5,2.444286312,31.79027198,0.607293029,118,19.58957845,167.1111288,14.10450582,0.134247079
10,344,36.1,2,2.05,0.575781207,21.03954701,0.307274116,129,13.76608042,98.99380182,13.21719558,0.041730643
10,345,36.1,2,2.05,0.713626482,21.20949516,0.392249484,120,13.87118836,107.7458745,13.42225946,0.05405708
10,347,36.1,2,2.05,1.142135061,19.90417384,0.450944729,92,11.33112638,130.097457,13.90706319,0.107100604
10,348,36.1,2,2.05,1.456868648,23.62428158,0.497832148,104,13.25095327,134.850865,14.13324445,0.100928886
11,349,32.6,2,2.29,0.471083422,18.34997244,0.235630231,115,12.30784414,96.84956952,13.10644758,0.045854506
12,353,33.39,2,1.92,1.156985332,28.020636,0.730395531,140,19.7459901,125.8885922,13.85530032,0.058505318
12,355,33.39,2,1.92,1.557912406,23.33061565,0.513763479,101,14.1942914,142.6919244,14.34799318,0.118130938
