Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,CI,luv_u,mean_r,median_s,entropy,xyz_Z
14,368,17.5,1,2.07,1.264791676,29.77836569,18,0.449351171,18.89011782,153.7641303,109,15.08847207,0.128308685
14,369,17.5,1,2.07,1.237226412,30.79189789,18,0.458487458,19.24449632,155.4167929,111,15.09750959,0.128392387
14,370,17.5,1,2.07,1.235162042,28.6451307,17,0.456196733,19.10373646,154.9997808,106,15.09917709,0.134938694
14,371,17.5,1,2.07,1.1206067,27.32087278,18,0.404876108,16.8123517,149.0135124,102,15.14388748,0.130177229
16,383,19.2,1,2.66,0.762018593,18.41461735,16,0.327724352,12.95625729,144.4103157,74,15.12142395,0.161054755
16,384,19.2,1,2.66,0.868111364,20.31079727,17,0.345932956,13.87099681,150.9365234,77,15.1108881,0.171827467
16,385,19.2,1,2.66,0.864043118,19.94895247,17,0.333370452,13.40902856,149.0969188,76,15.10376201,0.168997907
16,386,19.2,1,2.66,0.745199553,18.62557607,17,0.311212621,12.32846688,143.8310547,73,15.04586279,0.161059875
16,387,19.2,1,2.66,1.011880556,22.88795883,17,0.380946298,15.34230949,156.0117188,83,15.10390001,0.173089551
16,388,19.2,1,2.66,0.882524424,21.42395037,17,0.365518792,14.43467685,152.6520647,80,15.15140719,0.171098823
16,389,19.2,1,2.66,0.897748636,21.33704865,17,0.358960454,14.29122935,150.956832,80,15.17402711,0.166429578
16,390,19.2,1,2.66,0.958734773,21.97471404,17,0.363673279,14.64181118,154.8756178,80,15.14744866,0.175632265
16,391,19.2,1,2.66,0.964890789,22.22726769,17,0.367911745,14.6176141,152.9553372,82,15.05024922,0.168414668
16,392,19.2,1,2.66,0.928153754,21.3800799,17,0.380081849,14.56431285,151.1295241,81,15.10506152,0.165706763
16,393,19.2,1,2.66,0.921651371,21.68797583,17,0.364618438,14.37937753,153.9994021,79,15.12986211,0.174866743
16,394,19.2,1,2.66,1.097268713,25.93402368,18,0.373490511,15.38163561,154.2150231,91,15.12834198,0.156013237
16,395,19.2,1,2.66,1.071039284,25.63830559,18,0.374010844,15.35954157,153.4961137,91,15.10565967,0.154885719
17,396,13.3,1,1.59,1.456028156,23.69691905,19,0.509478457,12.75872191,151.1424785,80,14.15202318,0.164924659
17,397,13.3,1,1.59,1.565744486,26.04801657,19,0.504739768,14.26506775,154.5349769,86,14.17341446,0.161133426
17,398,13.3,1,1.59,0.820582194,20.60560842,18,0.320483622,12.36743903,141.8366749,79,15.12378766,0.147879279
17,399,13.3,1,1.59,0.786486999,20.56764235,18,0.283538016,11.58003742,139.14774,80,15.0999262,0.142923183
17,400,13.3,1,1.59,0.748757054,19.5116627,18,0.280314236,11.19195827,139.3573422,76,15.11283134,0.148609658
17,401,13.3,1,1.59,0.678296927,17.31411257,17,0.286869757,11.20270069,139.865633,70,15.11871624,0.15758083
