Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
11,317,13.59,2,2.29,0.378103216,18.21738574,18,88.81881776,0.180543646,11.28767844,120,0.037519037,0.048843916
11,318,13.59,2,2.29,1.48720463,28.15291717,20,136.5147082,0.551439547,15.06278958,108,0.099858362,0.033766028
11,319,13.59,2,2.29,1.748969341,32.11417854,20,145.9495177,0.630678491,17.46339148,116,0.104325025,0.032273507
10,328,5.25,2,2.05,1.871187193,30.61571143,20,145.5988321,0.720949626,15.43903499,107,0.11470225,0.037794666
10,329,5.25,2,2.05,1.023760282,24.75384265,20,123.5254106,0.516490943,12.82179117,104,0.084971143,0.042945214
10,330,5.25,2,2.05,1.87113864,32.29805028,21,155.4810666,0.576566225,15.12941751,103,0.138246228,0.033570255
10,331,5.25,2,2.05,2.041489681,34.59813688,21,157.1909279,0.56223969,16.29135434,110,0.130896305,0.031932652
11,332,4.3,2,2.29,1.63891994,29.50164126,20,138.1647463,0.676949747,15.97492074,112,0.097193212,0.036400326
11,333,4.3,2,2.29,0.584498133,22.41439622,19,107.7606027,0.341399922,12.78483982,113,0.057971284,0.050803143
11,334,4.3,2,2.29,2.020011044,33.01614686,20,158.0199298,0.63569419,16.28726037,105,0.138957977,0.033838041
11,335,4.3,2,2.29,2.209306277,34.58261887,20,158.1998764,0.660685943,17.70684105,112,0.128793174,0.033220146
10,344,36.1,2,2.05,0.575781207,21.91133063,19,98.99380182,0.307274116,13.76608042,129,0.041730643,0.046253534
10,345,36.1,2,2.05,0.713626482,23.0645051,19,107.7458745,0.392249484,13.87118836,120,0.05405708,0.041197481
10,347,36.1,2,2.05,1.142135061,24.21661664,20,130.097457,0.450944729,11.33112638,92,0.107100604,0.033794723
10,348,36.1,2,2.05,1.456868648,28.30275426,21,134.850865,0.497832148,13.25095327,104,0.100928886,0.030740416
11,349,32.6,2,2.29,0.471083422,19.46471341,18,96.84956952,0.235630231,12.30784414,115,0.045854506,0.046166758
11,351,32.6,2,2.29,1.739468364,29.60283229,19,146.5820313,0.645978788,16.66088243,106,0.116502278,0.030561708
11,352,32.6,2,2.29,1.41504082,28.1847048,21,135.8824936,0.529403541,13.327822,103,0.103651285,0.033202856
14,361,17.5,1,2.07,1.039032389,25.28828562,17,146.0076531,0.410572317,17.51380842,102,0.125801119,0.027328848
14,365,17.5,1,2.07,1.376290629,32.84547591,18,155.7442004,0.461971589,20.37160308,118,0.118638146,0.025956975
14,366,17.5,1,2.07,1.334224954,31.98795319,19,155.0738002,0.433860611,19.22341621,114,0.123481527,0.025876958
14,367,17.5,1,2.07,1.366073563,32.65171543,19,156.7840003,0.440250156,19.62278995,115,0.124696602,0.025944769
14,368,17.5,1,2.07,1.264791676,29.77836569,18,153.7641303,0.449351171,18.89011782,109,0.128308685,0.025401149
14,369,17.5,1,2.07,1.237226412,30.79189789,18,155.4167929,0.458487458,19.24449632,111,0.128392387,0.024745976
14,370,17.5,1,2.07,1.235162042,28.6451307,17,154.9997808,0.456196733,19.10373646,106,0.134938694,0.024724719
14,371,17.5,1,2.07,1.1206067,27.32087278,18,149.0135124,0.404876108,16.8123517,102,0.130177229,0.023818262
16,383,19.2,1,2.66,0.762018593,18.41461735,16,144.4103157,0.327724352,12.95625729,74,0.161054755,0.024910343
16,384,19.2,1,2.66,0.868111364,20.31079727,17,150.9365234,0.345932956,13.87099681,77,0.171827467,0.025117706
16,385,19.2,1,2.66,0.864043118,19.94895247,17,149.0969188,0.333370452,13.40902856,76,0.168997907,0.025616691
16,386,19.2,1,2.66,0.745199553,18.62557607,17,143.8310547,0.311212621,12.32846688,73,0.161059875,0.029689286
16,387,19.2,1,2.66,1.011880556,22.88795883,17,156.0117188,0.380946298,15.34230949,83,0.173089551,0.024026529
16,388,19.2,1,2.66,0.882524424,21.42395037,17,152.6520647,0.365518792,14.43467685,80,0.171098823,0.023562725
16,389,19.2,1,2.66,0.897748636,21.33704865,17,150.956832,0.358960454,14.29122935,80,0.166429578,0.022408643
16,390,19.2,1,2.66,0.958734773,21.97471404,17,154.8756178,0.363673279,14.64181118,80,0.175632265,0.022417797
16,391,19.2,1,2.66,0.964890789,22.22726769,17,152.9553372,0.367911745,14.6176141,82,0.168414668,0.027258195
16,392,19.2,1,2.66,0.928153754,21.3800799,17,151.1295241,0.380081849,14.56431285,81,0.165706763,0.024380822
16,393,19.2,1,2.66,0.921651371,21.68797583,17,153.9994021,0.364618438,14.37937753,79,0.174866743,0.023855986
16,394,19.2,1,2.66,1.097268713,25.93402368,18,154.2150231,0.373490511,15.38163561,91,0.156013237,0.022602093
16,395,19.2,1,2.66,1.071039284,25.63830559,18,153.4961137,0.374010844,15.35954157,91,0.154885719,0.024427308
17,396,13.3,1,1.59,1.456028156,23.69691905,19,151.1424785,0.509478457,12.75872191,80,0.164924659,0.032425976
17,397,13.3,1,1.59,1.565744486,26.04801657,19,154.5349769,0.504739768,14.26506775,86,0.161133426,0.032299945
17,398,13.3,1,1.59,0.820582194,20.60560842,18,141.8366749,0.320483622,12.36743903,79,0.147879279,0.024931144
17,399,13.3,1,1.59,0.786486999,20.56764235,18,139.14774,0.283538016,11.58003742,80,0.142923183,0.02664048
17,400,13.3,1,1.59,0.748757054,19.5116627,18,139.3573422,0.280314236,11.19195827,76,0.148609658,0.025370439
17,401,13.3,1,1.59,0.678296927,17.31411257,17,139.865633,0.286869757,11.20270069,70,0.15758083,0.025154563
18,402,13.6,1,1.27,1.262172776,26.74862615,19,152.5811942,0.402226935,14.42775104,90,0.151757948,0.020670922
18,403,13.6,1,1.27,1.291392086,29.14217902,19,157.0696349,0.402617487,15.6816852,95,0.152276091,0.018778275
18,404,13.6,1,1.27,1.435464819,29.43565271,19,156.1298828,0.45328781,16.17754705,98,0.146385956,0.021255689
18,405,13.6,1,1.27,1.512423448,26.57806211,19,153.462771,0.479521869,14.20672217,88,0.156023275,0.026486402
18,406,13.6,1,1.27,1.59140236,26.64721065,19,155.4587851,0.476662572,14.29816965,87,0.161792023,0.027758168
18,407,13.6,1,1.27,0.989217491,24.41014445,19,149.0393814,0.332018681,13.76045011,87,0.151589217,0.026193808
18,408,13.6,1,1.27,1.016796845,25.19700626,19,148.2289939,0.34276114,14.15792236,90,0.144818658,0.021412187
